Index;scenario;dwt_30;dwt_50;dwt_70;dwt_90;dwt_110;dwt_130;stripWidth;vol;peat;location;crit35a
0;rovaniemi_other_P1_vol_45;-0.280044109;-0.378684921;-0.489851531;-0.5483663;-0.5931702;-0.618535781;40;45;other_P1;Rovaniemi;-0.441839649
1;rovaniemi_other_P1_vol_90;-0.335785247;-0.42582456;-0.536372878;-0.600405318;-0.646882721;-0.673399372;40;90;other_P1;Rovaniemi;-0.331574548
2;rovaniemi_other_P1_vol_130;-0.371756212;-0.456802733;-0.56321577;-0.632139243;-0.68061978;-0.708164655;40;130;other_P1;Rovaniemi;-0.3
3;rovaniemi_other_P1_vol_175;-0.383548342;-0.474090465;-0.574315517;-0.645067212;-0.694609137;-0.722638;40;175;other_P1;Rovaniemi;-0.3
4;ylitornio_other_P1_vol_45;-0.263426622;-0.367941404;-0.454419386;-0.507450844;-0.532168259;-0.55029398;40;45;other_P1;Ylitornio;-0.465667241
5;ylitornio_other_P1_vol_90;-0.30543739;-0.400120632;-0.493590722;-0.541566086;-0.577184659;-0.601525674;40;90;other_P1;Ylitornio;-0.394129878
6;ylitornio_other_P1_vol_130;-0.330169305;-0.418069572;-0.512174634;-0.566804087;-0.609959292;-0.634277858;40;130;other_P1;Ylitornio;-0.345120898
7;ylitornio_other_P1_vol_175;-0.339674044;-0.428073045;-0.520293845;-0.578541074;-0.623147622;-0.647528953;40;175;other_P1;Ylitornio;-0.323362155
8;hyrynsalmi_other_P1_vol_45;-0.276427175;-0.383596588;-0.494356674;-0.564968578;-0.59449922;-0.60862234;40;45;other_P1;Hyrynsalmi;-0.437301909
9;hyrynsalmi_other_P1_vol_90;-0.329278629;-0.429615177;-0.532118544;-0.604659622;-0.639836827;-0.65752978;40;90;other_P1;Hyrynsalmi;-0.341303735
10;hyrynsalmi_other_P1_vol_130;-0.366373144;-0.459607009;-0.554510056;-0.629712418;-0.668422469;-0.684769223;40;130;other_P1;Hyrynsalmi;-0.3
11;hyrynsalmi_other_P1_vol_175;-0.383043017;-0.470842873;-0.564711034;-0.640616883;-0.678946061;-0.695326974;40;175;other_P1;Hyrynsalmi;-0.3
12;siikajoki_other_P1_vol_45;-0.313444479;-0.421144125;-0.54570851;-0.642651877;-0.68677762;-0.708680498;40;45;other_P1;Siikajoki;-0.367884199
13;siikajoki_other_P1_vol_90;-0.366100539;-0.478548139;-0.598540789;-0.693146456;-0.737652128;-0.760902132;40;90;other_P1;Siikajoki;-0.3
14;siikajoki_other_P1_vol_130;-0.410708859;-0.510290801;-0.626274964;-0.723161044;-0.768996848;-0.794609161;40;130;other_P1;Siikajoki;-0.3
15;siikajoki_other_P1_vol_175;-0.434795416;-0.524075848;-0.638151178;-0.736061659;-0.783521604;-0.808392515;40;175;other_P1;Siikajoki;-0.3
16;ilomantsi_other_P1_vol_45;-0.271874231;-0.380065094;-0.481308372;-0.551177345;-0.584804997;-0.597594457;40;45;other_P1;Ilomantsi;-0.44442212
17;ilomantsi_other_P1_vol_90;-0.324526508;-0.432487988;-0.521457169;-0.592816744;-0.62494936;-0.637139746;40;90;other_P1;Ilomantsi;-0.347189964
18;ilomantsi_other_P1_vol_130;-0.376727999;-0.464332328;-0.549360195;-0.617652325;-0.647293229;-0.664113707;40;130;other_P1;Ilomantsi;-0.3
19;ilomantsi_other_P1_vol_175;-0.392906096;-0.478089321;-0.561249;-0.627922673;-0.65679875;-0.676719959;40;175;other_P1;Ilomantsi;-0.3
20;viitasaari_other_P1_vol_45;-0.273731853;-0.373327971;-0.485102839;-0.544722347;-0.57874906;-0.598717139;40;45;other_P1;Viitasaari;-0.453154859
21;viitasaari_other_P1_vol_90;-0.337294874;-0.417502203;-0.529919751;-0.597516098;-0.62928476;-0.650167478;40;90;other_P1;Viitasaari;-0.331680711
22;viitasaari_other_P1_vol_130;-0.376093596;-0.459511924;-0.558090218;-0.626034311;-0.661663983;-0.682650503;40;130;other_P1;Viitasaari;-0.3
23;viitasaari_other_P1_vol_175;-0.390510893;-0.472752587;-0.571000098;-0.640824333;-0.674418198;-0.695965936;40;175;other_P1;Viitasaari;-0.3
24;laihia_other_P1_vol_45;-0.288197232;-0.394251699;-0.528519649;-0.63392504;-0.688511831;-0.712015255;40;45;other_P1;Laihia;-0.416549109
25;laihia_other_P1_vol_90;-0.345790169;-0.452373554;-0.585850631;-0.687170201;-0.739190725;-0.765698414;40;90;other_P1;Laihia;-0.307899601
26;laihia_other_P1_vol_130;-0.387592601;-0.498498444;-0.624765514;-0.717084905;-0.774484757;-0.801492905;40;130;other_P1;Laihia;-0.3
27;laihia_other_P1_vol_175;-0.405230454;-0.518954763;-0.641835026;-0.730895623;-0.788583425;-0.816110626;40;175;other_P1;Laihia;-0.3
28;kankaanpaa_other_P1_vol_45;-0.268785377;-0.38218944;-0.480573332;-0.554623384;-0.593891103;-0.608480159;40;45;other_P1;Kankaanpaa;-0.443230535
29;kankaanpaa_other_P1_vol_90;-0.337972855;-0.430302979;-0.530924641;-0.604595734;-0.640895407;-0.657065076;40;90;other_P1;Kankaanpaa;-0.326052483
30;kankaanpaa_other_P1_vol_130;-0.380263668;-0.463239536;-0.561477886;-0.635243542;-0.679297009;-0.698273453;40;130;other_P1;Kankaanpaa;-0.3
31;kankaanpaa_other_P1_vol_175;-0.403002443;-0.47808991;-0.575030236;-0.649722153;-0.693906511;-0.712420974;40;175;other_P1;Kankaanpaa;-0.3
32;juva_other_P1_vol_45;-0.301185043;-0.416529191;-0.521868589;-0.601214208;-0.64171677;-0.663622967;40;45;other_P1;Juva;-0.384642278
33;juva_other_P1_vol_90;-0.370998734;-0.477814964;-0.576781746;-0.660136304;-0.699106013;-0.719351148;40;90;other_P1;Juva;-0.3
34;juva_other_P1_vol_130;-0.419761182;-0.517812657;-0.612908065;-0.693036292;-0.730669715;-0.750892311;40;130;other_P1;Juva;-0.3
35;juva_other_P1_vol_175;-0.439333224;-0.536232829;-0.628866235;-0.704988774;-0.74282518;-0.763101845;40;175;other_P1;Juva;-0.3
36;lohja_other_P1_vol_45;-0.322384279;-0.427056004;-0.547806131;-0.625743195;-0.65894978;-0.673785781;40;45;other_P1;Lohja;-0.352766344
37;lohja_other_P1_vol_90;-0.396579187;-0.494028806;-0.603805658;-0.676644799;-0.708247911;-0.727760691;40;90;other_P1;Lohja;-0.3
38;lohja_other_P1_vol_130;-0.454290933;-0.541617996;-0.639804668;-0.706908953;-0.74047535;-0.760161706;40;130;other_P1;Lohja;-0.3
39;lohja_other_P1_vol_175;-0.478666874;-0.566253283;-0.657584349;-0.719769977;-0.754249925;-0.773969443;40;175;other_P1;Lohja;-0.3
40;rovaniemi_sphagnum_P1_vol_45;-0.233190819;-0.299712166;-0.376294079;-0.435533108;-0.465059823;-0.478753129;40;45;sphagnum_P1;Rovaniemi;-0.631330838
41;rovaniemi_sphagnum_P1_vol_90;-0.295855146;-0.360176593;-0.43194204;-0.479671334;-0.510984034;-0.53702362;40;90;sphagnum_P1;Rovaniemi;-0.468357077
42;rovaniemi_sphagnum_P1_vol_130;-0.338577647;-0.395862126;-0.46108969;-0.509380699;-0.550074941;-0.579430159;40;130;sphagnum_P1;Rovaniemi;-0.339879399
43;rovaniemi_sphagnum_P1_vol_175;-0.351303301;-0.408532928;-0.474143978;-0.522468789;-0.56827762;-0.599723728;40;175;sphagnum_P1;Rovaniemi;-0.3
44;ylitornio_sphagnum_P1_vol_45;-0.202170032;-0.266443136;-0.332598456;-0.385933464;-0.415571346;-0.441386336;40;45;sphagnum_P1;Ylitornio;-0.765253741
45;ylitornio_sphagnum_P1_vol_90;-0.239266629;-0.322070242;-0.393140924;-0.435994491;-0.471333533;-0.485370717;40;90;sphagnum_P1;Ylitornio;-0.57859713
46;ylitornio_sphagnum_P1_vol_130;-0.284674982;-0.354465362;-0.417199733;-0.465627008;-0.491460796;-0.507201551;40;130;sphagnum_P1;Ylitornio;-0.487203503
47;ylitornio_sphagnum_P1_vol_175;-0.296366869;-0.363475417;-0.42587975;-0.473765489;-0.500710236;-0.519413159;40;175;sphagnum_P1;Ylitornio;-0.459839939
48;hyrynsalmi_sphagnum_P1_vol_45;-0.205488444;-0.284438202;-0.366192657;-0.428615271;-0.468505466;-0.485469482;40;45;sphagnum_P1;Hyrynsalmi;-0.660387096
49;hyrynsalmi_sphagnum_P1_vol_90;-0.261136525;-0.354876829;-0.426232438;-0.480786231;-0.517863064;-0.534789535;40;90;sphagnum_P1;Hyrynsalmi;-0.489595022
