Index;scenario;dwt_30;dwt_50;dwt_70;dwt_90;dwt_110;dwt_130;stripWidth;vol;peat;location;crit35a
0;rovaniemi_other_P1_vol_45;-0.192593396;-0.288890094;-0.308149433;-0.327408773;-0.337038443;-0.342816244;40;45;other_P1;Rovaniemi;-0.486011982
1;rovaniemi_other_P1_vol_90;-0.455834842;-0.683752263;-0.729335747;-0.774919232;-0.797710974;-0.811386019;40;90;other_P1;Rovaniemi;-0.55605744
2;rovaniemi_other_P1_vol_130;-0.393664117;-0.590496176;-0.629862587;-0.669228999;-0.688912205;-0.700722128;40;130;other_P1;Rovaniemi;-0.565245225
3;rovaniemi_other_P1_vol_175;-0.120137984;-0.180206977;-0.192220775;-0.204234574;-0.210241473;-0.213845612;40;175;other_P1;Rovaniemi;-0.512979586
4;ylitornio_other_P1_vol_45;-0.479740877;-0.719611315;-0.767585403;-0.81555949;-0.839546534;-0.853938761;40;45;other_P1;Ylitornio;-0.514804458
5;ylitornio_other_P1_vol_90;-0.103009821;-0.154514731;-0.164815713;-0.175116695;-0.180267186;-0.183357481;40;90;other_P1;Ylitornio;-0.368625132
6;ylitornio_other_P1_vol_130;-0.426724967;-0.64008745;-0.682759947;-0.725432443;-0.746768692;-0.759570441;40;130;other_P1;Ylitornio;-0.300095518
7;ylitornio_other_P1_vol_175;-0.444681848;-0.667022772;-0.711490957;-0.755959142;-0.778193234;-0.79153369;40;175;other_P1;Ylitornio;-0.757077764
8;hyrynsalmi_other_P1_vol_45;-0.494492611;-0.741738917;-0.791188178;-0.840637439;-0.86536207;-0.880196848;40;45;other_P1;Hyrynsalmi;-0.459883489
9;hyrynsalmi_other_P1_vol_90;-0.264344957;-0.396517436;-0.422951932;-0.449386427;-0.462603675;-0.470534024;40;90;other_P1;Hyrynsalmi;-0.360003036
10;hyrynsalmi_other_P1_vol_130;-0.000604381;-0.000906572;-0.00096701;-0.001027448;-0.001057667;-0.001075798;40;130;other_P1;Hyrynsalmi;-0.645826985
11;hyrynsalmi_other_P1_vol_175;-0.068784738;-0.103177107;-0.110055581;-0.116934054;-0.120373291;-0.122436833;40;175;other_P1;Hyrynsalmi;-0.650416937
12;siikajoki_other_P1_vol_45;-0.016029548;-0.024044322;-0.025647277;-0.027250231;-0.028051709;-0.028532595;40;45;other_P1;Siikajoki;-0.486175175
13;siikajoki_other_P1_vol_90;-0.083032771;-0.124549156;-0.132852433;-0.14115571;-0.145307348;-0.147798332;40;90;other_P1;Siikajoki;-0.410157267
14;siikajoki_other_P1_vol_130;-0.241882248;-0.362823372;-0.387011596;-0.411199821;-0.423293934;-0.430550401;40;130;other_P1;Siikajoki;-0.360489015
15;siikajoki_other_P1_vol_175;-0.134379902;-0.201569853;-0.215007844;-0.228445834;-0.235164829;-0.239196226;40;175;other_P1;Siikajoki;-0.740948466
16;ilomantsi_other_P1_vol_45;-0.248938718;-0.373408077;-0.398301949;-0.423195821;-0.435642757;-0.443110919;40;45;other_P1;Ilomantsi;-0.654097395
17;ilomantsi_other_P1_vol_90;-0.471393623;-0.707090435;-0.754229798;-0.80136916;-0.824938841;-0.83908065;40;90;other_P1;Ilomantsi;-0.736022499
18;ilomantsi_other_P1_vol_130;-0.436228172;-0.654342259;-0.697965076;-0.741587893;-0.763399302;-0.776486147;40;130;other_P1;Ilomantsi;-0.670989606
19;ilomantsi_other_P1_vol_175;-0.386148184;-0.579222276;-0.617837094;-0.656451913;-0.675759322;-0.687343767;40;175;other_P1;Ilomantsi;-0.470860561
20;viitasaari_other_P1_vol_45;-0.236310692;-0.354466037;-0.378097107;-0.401728176;-0.41354371;-0.420633031;40;45;other_P1;Viitasaari;-0.383902108
21;viitasaari_other_P1_vol_90;-0.225074427;-0.337611641;-0.360119084;-0.382626526;-0.393880248;-0.40063248;40;90;other_P1;Viitasaari;-0.681039429
22;viitasaari_other_P1_vol_130;-0.243806773;-0.36571016;-0.390090837;-0.414471515;-0.426661853;-0.433976057;40;130;other_P1;Viitasaari;-0.676633761
